manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,,,,,,,,Annual Emission,Daily Emissions
Apple,13-inch MacBook Air (M1 CPU) 256GB - 2020,Workplace,Laptop,161,0.15,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_PER_Nov2020.pdf,6aeab656ce3f92357d0725ce4abe9592,0,0.76,,,13,,SSD 256GB,,,,27-05-2022,Manual,0.08,,,,,,,,53.66666667,0.147031963
Apple,13-inch MacBook Air (M1 CPU) 512GB - 2020,Workplace,Laptop,181,0.15,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_PER_Nov2020.pdf,6aeab656ce3f92357d0725ce4abe9592,0,0.76,,,13,,SSD 512GB,,,,27-05-2022,Manual,0.08,,,,,,,,60.33333333,0.165296804
Apple,13-inch MacBook Air with Retina display (1.1GHz dual-core CPU) 256GB - 2020,Workplace,Laptop,174,0.15,,3,WW,20-Mar,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_w_Retina_PER_Mar2020.pdf,948955c0bcb6fcca620aea4c30b40b16,0,0.77,,,13,,SSD 256GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,58,0.15890411
Apple,13-inch MacBook Air with Retina display (1.1GHz quad-core CPU) 512GB - 2020,Workplace,Laptop,202,0.15,,3,WW,20-Mar,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_w_Retina_PER_Mar2020.pdf,948955c0bcb6fcca620aea4c30b40b16,0,0.77,,,13,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,67.33333333,0.184474886
Apple,13-inch MacBook Pro (1.4GHz quad-core CPU) 256GB - 2020,Workplace,Laptop,217,0.17,,3,WW,20-May,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_May2020.pdf,949f7ec215d893ae2fc909a3d83723fa,0,0.76,,,13,,SSD 256GB,,,,1/11/2020,Initial Parsing,0.06,,,,,,,,72.33333333,0.198173516
Apple,13-inch MacBook Pro (2.0GHz quad-core CPU) 512GB - 2020,Workplace,Laptop,251,0.17,,3,WW,20-May,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_May2020.pdf,949f7ec215d893ae2fc909a3d83723fa,0,0.76,,,13,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.06,,,,,,,,83.66666667,0.229223744
Apple,13-inch MacBook Pro (Four Thunderbolt 3 ports) 1TB - 2020,Workplace,Laptop,298,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 1024GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,99.33333333,0.272146119
Apple,13-inch MacBook Pro (Four Thunderbolt 3 ports) 512GB - 2020,Workplace,Laptop,251,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,83.66666667,0.229223744
Apple,13-inch MacBook Pro (M1 CPU) 256GB - 2020,Workplace,Laptop,185,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 256GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,61.66666667,0.168949772
Apple,13-inch MacBook Pro (M1 CPU) 512GB - 2020,Workplace,Laptop,207,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.07,,,,,,,,69,0.189041096
Apple,13-inch MacBook Pro (Two Thunderbolt 3 ports) 256GB - 2020,Workplace,Laptop,212,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 256GB,,,,30-05-2022,Manual,0.07,,,,,,,,70.66666667,0.193607306
Apple,13-inch MacBook Pro (Two Thunderbolt 3 ports) 512GB - 2020,Workplace,Laptop,233,0.19,,3,WW,20-Nov,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf,e4b08638acfafa606243cfbaef4f2a19,0,0.73,,,13,,SSD 512GB,,,,30-05-2022,Manual,0.07,,,,,,,,77.66666667,0.212785388
Apple,13-inch MacBook Pro with Retina display (2.7GHz CPU) 128GB - 2015,Workplace,Laptop,439,0.12,,3,WW,16-Oct,https://www.apple.com/environment/pdf/products/notebooks/13inchMBP_wRetinaDisplay_PER_Oct2016.pdf,f7b3b59101c38327113309ead6339ab8,0,0.84,,,13,,SSD 128GB,,,,30-05-2022,Manual,0.03,,,,,,,,146.3333333,0.400913242
Apple,14-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Workplace,Laptop,307,0.22,,3,WW,21-Oct,https://www.apple.com/environment/pdf/products/notebooks/14-inch_MacBook_Pro_PER_Oct2021.pdf,00c7a42db26bf1132056836a02aff39b,0,0.72,,,14,,1024GB,,,,20-01-2022,Manual,0.05,,,,,,,,102.3333333,0.280365297
Apple,14-inch MacBook Pro (M1 Pro 8-core CPU and 14-core GPU) 512GB - 2021,Workplace,Laptop,271,0.22,,3,WW,21-Oct,https://www.apple.com/environment/pdf/products/notebooks/14-inch_MacBook_Pro_PER_Oct2021.pdf,00c7a42db26bf1132056836a02aff39b,0,0.72,,,14,,512GB,,,,20-01-2022,Manual,0.05,,,,,,,,90.33333333,0.247488584
Apple,14-inch MacBook Pro with 64GB,Workplace,Laptop,243,0.2,,3.5,WW,January 17 2023,https://www.apple.com/environment/pdf/products/notebooks/14-inch_MacBook_Pro_PER_Jan2023.pdf,e8daa3644a8d492ac5f151e4c1d6e1dd,,0.79,,,14,,64GB SSD,,,,23-02-2023,Apple Auto Parser,0.01,0.01,,,,,,,69.42857143,0.190215264
Apple,15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019,Workplace,Laptop,385,0.19,,3,WW,19-Nov,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf,a81c889a463ca1df8e3b81b8424fed7d,0,0.75,,,15,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.05,,,,,,,,128.3333333,0.351598174
